site,longitude,latitude,survey_year,zone,transect,classcode,count,survey,distance
BLUEFISH_DC,-121.945094,36.52381268,2017,OUTER,2,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2018,INNER,1,NERLUE,3,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2018,INNER,2,NERLUE,5,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2018,MID,1,NERLUE,9,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2018,MID,2,NERLUE,7,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2018,OUTER,1,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2018,OUTER,2,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2019,INNER,1,NERLUE,15,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2019,INNER,2,NERLUE,30,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2019,MID,1,NERLUE,1,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2019,MID,2,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2019,OUTER,1,NERLUE,29,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2019,OUTER,2,NERLUE,4,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2020,INNER,1,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2020,INNER,2,NERLUE,2,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2020,MID,1,NERLUE,11,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2020,MID,2,NERLUE,11,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2020,OUTER,1,NERLUE,1,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2020,OUTER,2,NERLUE,25,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2021,MID,1,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2021,MID,2,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2021,OUTER,1,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2021,OUTER,2,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2022,MID,1,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2022,MID,2,NERLUE,10,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2022,OUTER,1,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2022,OUTER,2,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2022,INNER,1,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2022,INNER,2,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2023,MID,1,NERLUE,0,pisco,NA
